location,price,m2,price/m2,details,floor,build
"град Велико Търново, Бузлуджа",48 500 EUR,57 m2,(851 EUR/m2),Продава 2-СТАЕН,"Панел, 1987 г.","
"
"град Велико Търново, Бузлуджа",48 500 EUR,57 m2,(851 EUR/m2),Продава 2-СТАЕН,8-ми от 8,"Строителство: Панел, 1987 г."
"град Велико Търново, Бузлуджа",95 000 лв.,65 m2,(1462 лв./m2),Продава 2-СТАЕН,2-ри от 6,Строителство: Тухла
"град Велико Търново, Бузлуджа",96 000 лв.,56 m2,(1714 лв./m2),Продава 2-СТАЕН,2-ри от 6,Газ: НЕ
"град Велико Търново, Бузлуджа",97 000 лв.,55 m2,(1764 лв./m2),Продава 2-СТАЕН,4-ти от 6,Строителство: Панел
"град Велико Търново, Бузлуджа",97 000 лв.,56 m2,(1732 лв./m2),Продава 2-СТАЕН,"Тухла, 2019 г.","
"
"град Велико Търново, Бузлуджа",50 300 EUR,45 m2,(1118 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",99 000 лв.,44 m2,(2250 лв./m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",101 000 лв.,50 m2,(2020 лв./m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",53 000 EUR,59 m2,(898 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",53 700 EUR,65 m2,(826 EUR/m2),Продава 2-СТАЕН,2-ри от 6,Строителство: Тухла
"град Велико Търново, Бузлуджа",53 700 EUR,82 m2,(655 EUR/m2),Продава 2-СТАЕН,5-ти от 5,Строителство: Панел
"град Велико Търново, Бузлуджа",54 000 EUR,61 m2,(885 EUR/m2),Продава 2-СТАЕН,2-ри от 6,Строителство: Тухла
"град Велико Търново, Бузлуджа",54 000 EUR,70 m2,(771 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа, Качица",54 700 EUR,62 m2,(882 EUR/m2),Продава 2-СТАЕН,2-ри от 6,"Строителство: Тухла, 2020 г."
"град Велико Търново, Бузлуджа",107 000 лв.,57 m2,(1877 лв./m2),Продава 2-СТАЕН,"Тухла, 2020 г.","
"
"град Велико Търново, Бузлуджа",107 000 лв.,56 m2,(1911 лв./m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",55 000 EUR,64 m2,(859 EUR/m2),Продава 2-СТАЕН,3-ти от 4,Газ: НЕ
"град Велико Търново, Бузлуджа",55 000 EUR,64 m2,(859 EUR/m2),Продава 2-СТАЕН,1-ви от 5,Газ: НЕ
"град Велико Търново, Бузлуджа",55 000 EUR,59 m2,(932 EUR/m2),Продава 2-СТАЕН,1-ви от 5,Газ: ДА
"град Велико Търново, Бузлуджа",55 000 EUR,44 m2,(1250 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",55 296 EUR,54 m2,(1024 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",55 662 EUR,86 m2,(647 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",55 662 EUR,86 m2,(647 EUR/m2),Продава 2-СТАЕН,ДА,ТEЦ: НЕ
"град Велико Търново, Бузлуджа",55 662 EUR,85 m2,(655 EUR/m2),Продава 2-СТАЕН,1-ви от 5,"Строителство: Тухла, 2021 г."
"град Велико Търново, Бузлуджа",55 662 EUR,85 m2,(655 EUR/m2),Продава 2-СТАЕН,Партер от 5,Газ: ДА
"град Велико Търново, Бузлуджа",56 500 EUR,57 m2,(991 EUR/m2),Продава 2-СТАЕН,2-ри от 7,"Строителство: Тухла, 2008 г."
"град Велико Търново, Бузлуджа",56 500 EUR,57 m2,(991 EUR/m2),Продава 2-СТАЕН,Партер от 6,Строителство: Тухла
